,Users,Songs,Artists,Playtime,Album
0,Babs_05,Tsuneni Ai,Fionn Regan,"16 Apr 2017, 02:10",The Meetings of the Waters
1,,Tsuneni Ai,Fionn Regan,"16 Apr 2017, 01:57",The Meetings of the Waters
2,,Up into the Rafters,Fionn Regan,"16 Apr 2017, 01:53",The Meetings of the Waters
3,,Euphoria,Fionn Regan,"16 Apr 2017, 01:49",The Meetings of the Waters
4,,Wall of Silver,Fionn Regan,"16 Apr 2017, 01:47",The Meetings of the Waters
5,,Ai,Fionn Regan,"16 Apr 2017, 01:45",The Meetings of the Waters
6,,Babushka-Yai Ya,Fionn Regan,"16 Apr 2017, 01:43",The Meetings of the Waters
7,,Book of the Moon,Fionn Regan,"16 Apr 2017, 01:41",The Meetings of the Waters
8,,Cape of Diamonds,Fionn Regan,"16 Apr 2017, 01:37",The Meetings of the Waters
9,,Turn the Skies of Blue On,Fionn Regan,"16 Apr 2017, 01:35",The Meetings of the Waters
10,,Cormorant Bird,Fionn Regan,"16 Apr 2017, 01:32",The Meetings of the Waters
11,,THE MEETINGS OF THE WATERS,Fionn Regan,"16 Apr 2017, 01:26",The Meetings of the Waters
12,,Valerie - BBC Radio 1 Live Lounge,Amy Winehouse,"16 Apr 2017, 01:13",AMY (Original Motion Picture Soundtrack)
13,,Amy Forever,Antonio Pinto,"16 Apr 2017, 01:10",AMY (Original Motion Picture Soundtrack)
14,,Body and Soul,Tony Bennett,"16 Apr 2017, 01:07",AMY (Original Motion Picture Soundtrack)
15,,Arrested,Antonio Pinto,"16 Apr 2017, 01:06",AMY (Original Motion Picture Soundtrack)
16,,Love Is A Losing Game - Live At The Mercury Music Awards,Amy Winehouse,"16 Apr 2017, 01:03",AMY (Original Motion Picture Soundtrack)
17,,Amy Lives,Antonio Pinto,"16 Apr 2017, 01:00",AMY (Original Motion Picture Soundtrack)
18,,We're Still Friends - Live At The Union Chapel,Amy Winehouse,"16 Apr 2017, 00:57",AMY (Original Motion Picture Soundtrack)
19,,In The Studio,Antonio Pinto,"16 Apr 2017, 00:56",AMY (Original Motion Picture Soundtrack)
20,,"Rehab - Live On Jools Holland, London / 2006",Amy Winehouse,"16 Apr 2017, 00:52",AMY (Original Motion Picture Soundtrack)
21,,Cynthia,Antonio Pinto,"16 Apr 2017, 00:51",AMY (Original Motion Picture Soundtrack)
22,,Back To Black - Acapella / Album Medley,Amy Winehouse,"16 Apr 2017, 00:47",AMY (Original Motion Picture Soundtrack)
23,,The Name Of The Wave,Strange Cargo,"16 Apr 2017, 00:40",AMY (Original Motion Picture Soundtrack)
24,,Seperacao Fotos,Antonio Pinto,"16 Apr 2017, 00:39",AMY (Original Motion Picture Soundtrack)
25,,Tears Dry on Their Own,Amy Winehouse,"16 Apr 2017, 00:36",AMY (Original Motion Picture Soundtrack)
26,,Like Smoke - Demo,Amy Winehouse,"16 Apr 2017, 00:34",AMY (Original Motion Picture Soundtrack)
27,,Kidnapping Amy,Antonio Pinto,"16 Apr 2017, 00:33",AMY (Original Motion Picture Soundtrack)
28,,Holiday Texts,Antonio Pinto,"16 Apr 2017, 00:32",AMY (Original Motion Picture Soundtrack)
29,,Some Unholy War - Down Tempo,Amy Winehouse,"16 Apr 2017, 00:28",AMY (Original Motion Picture Soundtrack)
30,,Walk,Antonio Pinto,"16 Apr 2017, 00:27",AMY (Original Motion Picture Soundtrack)
31,,What Is It About Men - Live At North Sea Jazz Festival,Amy Winehouse,"16 Apr 2017, 00:21",AMY (Original Motion Picture Soundtrack)
32,,Poetic Finale,Antonio Pinto,"16 Apr 2017, 00:19",AMY (Original Motion Picture Soundtrack)
33,,Stronger Than Me,Amy Winehouse,"16 Apr 2017, 00:15",AMY (Original Motion Picture Soundtrack)
34,,Opening,Antonio Pinto,"16 Apr 2017, 00:14",AMY (Original Motion Picture Soundtrack)
35,,Floating Cathedral,Timber Timbre,"15 Apr 2017, 20:28","Sincerely, Future Pollution"
36,,Bleu Nuit,Timber Timbre,"15 Apr 2017, 20:24","Sincerely, Future Pollution"
37,,"Sincerely, Future Pollution",Timber Timbre,"15 Apr 2017, 20:20","Sincerely, Future Pollution"
38,,Western Questions,Timber Timbre,"15 Apr 2017, 20:15","Sincerely, Future Pollution"
39,,Sewer Blues,Timber Timbre,"15 Apr 2017, 20:10","Sincerely, Future Pollution"
40,,Moment,Timber Timbre,"15 Apr 2017, 20:04","Sincerely, Future Pollution"
41,,Skin Tone,Timber Timbre,"15 Apr 2017, 20:01","Sincerely, Future Pollution"
42,,Grifting,Timber Timbre,"15 Apr 2017, 19:57","Sincerely, Future Pollution"
43,,VELVET GLOVES & SPIT,Timber Timbre,"15 Apr 2017, 19:52","Sincerely, Future Pollution"
44,,Western Questions,Timber Timbre,"15 Apr 2017, 19:48","Sincerely, Future Pollution"
45,,Sewer Blues,Timber Timbre,"15 Apr 2017, 19:44","Sincerely, Future Pollution"
46,,Moment,Timber Timbre,"15 Apr 2017, 19:37","Sincerely, Future Pollution"
47,,Skin Tone,Timber Timbre,"15 Apr 2017, 19:34","Sincerely, Future Pollution"
48,,Grifting,Timber Timbre,"15 Apr 2017, 19:30","Sincerely, Future Pollution"
49,,VELVET GLOVES & SPIT,Timber Timbre,"15 Apr 2017, 19:25","Sincerely, Future Pollution"
50,,Biking (feat. Jay-Z And Tyler The Creator),Frank Ocean,"15 Apr 2017, 02:26",
51,,it gets more blue,Girlpool,"15 Apr 2017, 02:22",
52,,Loving,Land of Talk,"15 Apr 2017, 02:18",
53,,Truth,Kamasi Washington,"15 Apr 2017, 02:05",
54,,Broken Halos,Chris Stapleton,"15 Apr 2017, 02:01",Broken Halos
55,,Aboard My Train,Kevin Morby,"15 Apr 2017, 01:57",Aboard My Train
56,,On the Level,Mac DeMarco,"15 Apr 2017, 01:52",On the Level
57,,Floating Cathedral,Timber Timbre,"15 Apr 2017, 01:44","Sincerely, Future Pollution"
58,,Bleu Nuit,Timber Timbre,"15 Apr 2017, 01:39","Sincerely, Future Pollution"
59,,"Sincerely, Future Pollution",Timber Timbre,"15 Apr 2017, 01:35","Sincerely, Future Pollution"
60,,Western Questions,Timber Timbre,"15 Apr 2017, 01:30","Sincerely, Future Pollution"
61,,Sewer Blues,Timber Timbre,"15 Apr 2017, 01:26","Sincerely, Future Pollution"
62,,Moment,Timber Timbre,"15 Apr 2017, 01:19","Sincerely, Future Pollution"
63,,Skin Tone,Timber Timbre,"15 Apr 2017, 01:16","Sincerely, Future Pollution"
64,,Grifting,Timber Timbre,"15 Apr 2017, 01:11","Sincerely, Future Pollution"
65,,VELVET GLOVES & SPIT,Timber Timbre,"15 Apr 2017, 01:07","Sincerely, Future Pollution"
66,,Floating Cathedral,Timber Timbre,"15 Apr 2017, 00:56","Sincerely, Future Pollution"
67,,Bleu Nuit,Timber Timbre,"15 Apr 2017, 00:52","Sincerely, Future Pollution"
68,,"Sincerely, Future Pollution",Timber Timbre,"15 Apr 2017, 00:48","Sincerely, Future Pollution"
69,,Western Questions,Timber Timbre,"15 Apr 2017, 00:43","Sincerely, Future Pollution"
70,,Sewer Blues,Timber Timbre,"15 Apr 2017, 00:37","Sincerely, Future Pollution"
71,,Moment,Timber Timbre,"15 Apr 2017, 00:32","Sincerely, Future Pollution"
72,,Skin Tone,Timber Timbre,"15 Apr 2017, 00:28","Sincerely, Future Pollution"
73,,Grifting,Timber Timbre,"15 Apr 2017, 00:24","Sincerely, Future Pollution"
74,,VELVET GLOVES & SPIT,Timber Timbre,"15 Apr 2017, 00:18","Sincerely, Future Pollution"
75,,Floating Cathedral,Timber Timbre,"14 Apr 2017, 21:27","Sincerely, Future Pollution"
76,,Bleu Nuit,Timber Timbre,"14 Apr 2017, 21:23","Sincerely, Future Pollution"
77,,"Sincerely, Future Pollution",Timber Timbre,"14 Apr 2017, 21:19","Sincerely, Future Pollution"
78,,Western Questions,Timber Timbre,"14 Apr 2017, 21:14","Sincerely, Future Pollution"
79,,Sewer Blues,Timber Timbre,"14 Apr 2017, 21:10","Sincerely, Future Pollution"
80,,Moment,Timber Timbre,"14 Apr 2017, 21:04","Sincerely, Future Pollution"
81,,Skin Tone,Timber Timbre,"14 Apr 2017, 21:01","Sincerely, Future Pollution"
82,,Grifting,Timber Timbre,"14 Apr 2017, 20:55","Sincerely, Future Pollution"
83,,VELVET GLOVES & SPIT,Timber Timbre,"14 Apr 2017, 20:51","Sincerely, Future Pollution"
84,,Cai Yuanpei Hall 27,Soundwalk Collective,"14 Apr 2017, 20:45",Before Music There Is Blood
85,,Skin Tone,Timber Timbre,"14 Apr 2017, 20:42","Sincerely, Future Pollution"
86,,Place To Call My Own - AK Version,Alicia Keys,"14 Apr 2017, 20:38",Vault Playlist Vol. 1
87,,Battle Cry,Jack White,"14 Apr 2017, 20:35",Battle Cry
88,,GET it TOgeTHEr,Drake,"14 Apr 2017, 20:31",More Life
89,,Aladdin,Future Islands,"14 Apr 2017, 20:27",The Far Field
90,,The Garden Is Overgrown,Champs,"14 Apr 2017, 20:23",The Garden Is Overgrown
91,,Priestess - Mr Dan Edit,Pumarosa,"14 Apr 2017, 20:17",Priestess (Mr Dan Edit)
92,,Magpie Eyes,Saint Etienne,"14 Apr 2017, 20:14",Magpie Eyes
93,,Bleeding Blue,Woods,"14 Apr 2017, 20:09",Bleeding Blue
94,,Welcome To An Altered Universe,King Gizzard & The Lizard Wizard,"14 Apr 2017, 20:08",Welcome To An Altered Universe
95,,Kathy’s Song - Recorded at Spotify Studios NYC,Laura Marling,"14 Apr 2017, 20:04",Spotify Singles
96,,The Fire,Bishop Briggs,"14 Apr 2017, 20:01",Bishop Briggs
97,,See It So Clear - Acoustic,Tom Chaplin,"14 Apr 2017, 19:57",See It So Clear (Acoustic)
98,,The Warm Shoulder,Mary Lattimore,"14 Apr 2017, 19:52",Collected Pieces
99,,Waiting (10 Years),Low Roar,"14 Apr 2017, 19:46","Once in a Long, Long While..."
100,,Before We’re Strangers - Demo Version,Rose Elinor Dougall,"14 Apr 2017, 19:44",Space To Be
101,,DUCKWORTH.,Kendrick Lamar,"14 Apr 2017, 19:34",DAMN.
102,,GOD.,Kendrick Lamar,"14 Apr 2017, 19:30",DAMN.
103,,Fear.,Kendrick Lamar,"14 Apr 2017, 19:21",DAMN.
104,,XXX. FEAT. U2.,Kendrick Lamar,"14 Apr 2017, 19:17",DAMN.
105,,LOVE. FEAT. ZACARI.,Kendrick Lamar,"14 Apr 2017, 19:13",DAMN.
106,,LUST.,Kendrick Lamar,"14 Apr 2017, 19:08",DAMN.
107,,HUMBLE.,Kendrick Lamar,"14 Apr 2017, 19:04",DAMN.
108,,PRIDE.,Kendrick Lamar,"14 Apr 2017, 19:00",DAMN.
109,,LOYALTY. FEAT. RIHANNA.,Kendrick Lamar,"14 Apr 2017, 18:56",DAMN.
110,,FEEL.,Kendrick Lamar,"14 Apr 2017, 18:52",DAMN.
111,,ELEMENT.,Kendrick Lamar,"14 Apr 2017, 18:48",DAMN.
112,,YAH.,Kendrick Lamar,"14 Apr 2017, 18:45",DAMN.
113,,DNA.,Kendrick Lamar,"14 Apr 2017, 18:42",DAMN.
114,,BLOOD.,Kendrick Lamar,"14 Apr 2017, 18:40",DAMN.
115,,Visa,Actress,"14 Apr 2017, 01:41",AZD
116,,There’s An Angel In The Shower,Actress,"14 Apr 2017, 01:33",AZD
117,,Faure In Chrome,Actress,"14 Apr 2017, 01:27",AZD
118,,DANCING IN THE SMOKE,Actress,"14 Apr 2017, 01:20",AZD
119,,FALLING RIZLAS,Actress,"14 Apr 2017, 01:17",AZD
120,,RUNNER,Actress,"14 Apr 2017, 01:11",AZD
121,,X22RME,Actress,"14 Apr 2017, 01:06",AZD
122,,CYN,Actress,"14 Apr 2017, 01:03",AZD
123,,Blue Window,Actress,"14 Apr 2017, 00:58",AZD
124,,FANTASYNTH,Actress,"14 Apr 2017, 00:53",AZD
125,,UNTITLED 7,Actress,"14 Apr 2017, 00:48",AZD
126,,NIMBUS,Actress,"14 Apr 2017, 00:47",AZD
127,,Journey To Reedham,Shobaleader One,"13 Apr 2017, 21:03",Elektrac
128,,Raining On Hope Street,Spinning Coin,"13 Apr 2017, 21:01",Raining On Hope Street
129,,In the clinches,Colin Stetson,"13 Apr 2017, 20:58",In the clinches
130,,In the Morning I'll Be Better,Tennis,"13 Apr 2017, 20:55",Yours Conditionally
131,,Du pouvoir,Halo Maud,"13 Apr 2017, 20:51",Du pouvoir
132,,Smoke Of Dreams - Radio Edit,Thurston Moore,"13 Apr 2017, 20:47",Smoke Of Dreams
133,,Preludes,Craig Finn,"13 Apr 2017, 20:42",We All Want The Same Things
134,,L.A. Confidential,Rhinos Are People Too,"13 Apr 2017, 20:39",L.A. Confidential
135,,Currency,The Black Angels,"13 Apr 2017, 20:34",Currency
136,,Swoon,Fujiya & Miyagi,"13 Apr 2017, 20:30",EP2
137,,I Was Born,vōx,"13 Apr 2017, 20:27",I Was Born
138,,Day at Work,Nouveau Vélo,"13 Apr 2017, 20:24",Reflections
139,,Drunk Drivers/Killer Whales (Single Version),Car Seat Headrest,"13 Apr 2017, 20:20",Drunk Drivers/Killer Whales (Single Version)
140,,In Between,The Feelies,"13 Apr 2017, 20:16",In Between
141,,The Valley,Ethan Gruska,"13 Apr 2017, 20:13",Slowmotionary
142,,I Figured You Out,Elliott Smith,"13 Apr 2017, 20:09",Either/Or (Expanded Edition)
143,,Alles Verboten,Trans Am,"13 Apr 2017, 20:05",Alles Verboten
144,,Transition,Kite Base,"13 Apr 2017, 20:01",Transition
145,,pour it out,Brian Eno,"13 Apr 2017, 19:57",Drums Between the Bells
146,,Sonny's Blues,Gold Star,"13 Apr 2017, 19:53",Big Blue
147,,Different Now,Chastity Belt,"13 Apr 2017, 19:50",Different Now
148,,Afterlife,Public Memory,"13 Apr 2017, 19:45",Afterlife
149,,Real Death,Mount Eerie,"13 Apr 2017, 19:42",A Crow Looked at Me
150,,River Mansion,Wall,"13 Apr 2017, 19:35",River Mansion
151,,Hippopotamus,Sparks,"13 Apr 2017, 19:31",Hippopotamus
152,,Another Youth,Horse Thief,"13 Apr 2017, 19:27",Another Youth
153,,Night Dances,Caged Animals,"13 Apr 2017, 19:23",Night Dances
154,,Prepared,Lambchop,"13 Apr 2017, 19:17",CoLAB
155,,Sally Go Round The Roses,The Pentangle,"12 Apr 2017, 20:57",Basket Of Light
156,,Hunting Song,The Pentangle,"12 Apr 2017, 20:50",Basket Of Light
157,,Train Song,The Pentangle,"12 Apr 2017, 20:45",Basket Of Light
158,,Lyke-Wake Dirge,The Pentangle,"12 Apr 2017, 20:41",Basket Of Light
159,,Springtime Promises,The Pentangle,"12 Apr 2017, 20:37",Basket Of Light
160,,Once I Had A Sweetheart,The Pentangle,"12 Apr 2017, 20:33",Basket Of Light
161,,Light Flight,The Pentangle,"12 Apr 2017, 20:21",Basket Of Light
162,,Goodbye Pork Pie Hat - (with audience),The Pentangle,"12 Apr 2017, 20:07",Sweet Child (Bonus Track Edition)
