,Songs,Listeners,Playcount,Duration,Tags
0,Маша и медведь,6619,35301,206000,"[u'russian', u'russian rock', u'rock', u'classic rock', u'indie', u'alternative', u'folk', u'Progressive rock', u'acoustic', u'art rock', u'folk rock', u'favourite', u'soulful', u'meditative', u'brilliant', u'aquarium', u'czHit', u'BG', u'amrita', u'Ofigitelno', u'i grew up listening to Aquarium']"
1,Маша и медведь,6619,35301,206000,"[u'russian', u'russian rock', u'rock', u'classic rock', u'indie', u'alternative', u'folk', u'Progressive rock', u'acoustic', u'art rock', u'folk rock', u'favourite', u'soulful', u'meditative', u'brilliant', u'aquarium', u'czHit', u'BG', u'amrita', u'Ofigitelno', u'i grew up listening to Aquarium']"
2,King Charles,18631,55333,189000,"[u'funk', u'afrobeat', u'afro armpit funk', u'funky jazz', u'sufu5a', u'flute', u'strings organs rubber wind', u'zapfunk', u'Dub Funk True', u'simenu22', u'jazz flute', u'grooves', u'afro-funk', u'ZapLovedTracks', u'cloudy day', u'dub-funk', u'cloudy morning', u'JackRains finest', u'chillout', u'indie', u'jazz', u'rock', u'soul', u'dub', u'acid jazz', u'horns', u'morning', u'africa', u'Chil', u'smokey', u'Funk Rock', u'love this', u'lovedtrack', u'mark-test2', u'umlaute', u'secretagent', u'tantotempotaste', u'somafm', u'funky soul', u'favouritestreamable', u'Glitter Grind and Static', u'larry', u'movin', u'favouritejazz', u'k-morningradio', u'k-cloudydayradio', u'The Budos Band', u'xyforme', u'gundajazz', u'2010 soul jazz OFH']"
3,Nature's Wrath,14179,48811,293000,"[u'afrobeat', u'afro armpit funk', u'instrumental', u'funk', u'afro carnival armpit funk', u'indie', u'jazz', u'chill', u'rock', u'flute', u'organ', u'horns', u'fip', u'brass', u'4', u'Funk Rock', u'secretagent', u'afro', u'somafm', u'Discovered', u'Daptone Records', u'TP', u'A8', u'The Budos Band', u'fatgermanlovesthis', u'The Budos Band III 2010']"
4,Rite of the Ancients,19844,66229,228000,"[u'funk', u'Funk Rock', u'rock', u'afrobeat', u'secretagent', u'The Budos Band', u'The Budos Band III 2010', u'indie', u'instrumental', u'horns', u'american', u'2010', u'2', u'baritone saxophone', u'somafm', u'deep funk revival', u'funky soul', u'TP', u'thank god for emergency redemption from utter repetitious shit', u'A8', u'radio as i want it', u'budos band rite of the ancients', u'less than 100', u'songs for long car rides', u'pinnacle tracks to set the standard', u'budos band rock funk united states america instrumental group afrobeat jazz top']"
5,Chicago Falcon,38576,136654,173000,"[u'funk', u'instrumental', u'soul', u'afrobeat', u'afro armpit funk', u'The Budos Band', u'shawns african joint', u'daptone', u'cool', u'brass', u'animals', u'indie', u'rock', u'acoustic', u'groove', u'cinematic', u'lounge', u'organ', u'horns', u'bird', u'sunday', u'Drum n Bass', u'Dope', u'2007', u'percussion', u'yes', u'Funk Rock', u'badass', u'secretagent', u'bongos', u'danceable', u'Lowlands', u'yeah', u'lowlands 2008', u'baltimore music club', u'de la fontaine funk', u'afro', u'itunes free download', u'midtempo', u'deep funk', u'afro-funk', u'location location location', u'somafm', u'calma', u'Lepposaa', u'metro funky', u'Daptone Records', u'funk lift off', u'My kinda shit', u'towns and cities']"
6,Raja Haje,12497,40581,237000,"[u'afro armpit funk', u'afrobeat', u'indie', u'rock', u'instrumental', u'funk', u'brass', u'2010', u'Funk Rock', u'secretagent', u'afro', u'somafm', u'afro-soul', u'afro carnival armpit funk']"
7,Budos Rising,22943,89860,289000,"[u'funk', u'afrobeat', u'jazz', u'instrumental', u'acid jazz', u'The Budos Band', u'groove', u'2007', u'somafm', u'The Budos Band II 2007', u'indie', u'rock', u'heavy', u'world', u'organ', u'horns', u'3', u'funky', u'breakbeat', u'daptone', u'percussion', u'fip', u'band', u'brass', u'underrated', u'00s', u'woxy', u'Funk Rock', u'secretagent', u'sultry', u'spy', u'deep funk', u'deep funk revival', u'Jazz  Funk', u'cooper was here', u'trackmania', u'TP', u'ronxi', u'tiffburns', u'7soul', u'a7', u'budos rising', u'Bodus Rising']"
8,Budos Rising,22943,89860,289000,"[u'funk', u'afrobeat', u'jazz', u'instrumental', u'acid jazz', u'The Budos Band', u'groove', u'2007', u'somafm', u'The Budos Band II 2007', u'indie', u'rock', u'heavy', u'world', u'organ', u'horns', u'3', u'funky', u'breakbeat', u'daptone', u'percussion', u'fip', u'band', u'brass', u'underrated', u'00s', u'woxy', u'Funk Rock', u'secretagent', u'sultry', u'spy', u'deep funk', u'deep funk revival', u'Jazz  Funk', u'cooper was here', u'trackmania', u'TP', u'ronxi', u'tiffburns', u'7soul', u'a7', u'budos rising', u'Bodus Rising']"
9,Golden Dunes,13759,46085,198000,"[u'silver apples moon', u'rock', u'funk', u'afrobeat', u'indie', u'instrumental', u'organ', u'percussion', u'brass', u'Funk Rock', u'secretagent', u'somafm', u'The Budos Band']"
