,Songs,Listeners,Playcount,Duration,Tags
0,Ambient Wonder,8775,42041,116000,"[u'Soundtrack', u'video game music', u'instrumental', u'game soundtracks', u'gtd', u'productivity', u'Best RPG background']"
1,Ambient Wonder,8775,42041,116000,"[u'Soundtrack', u'video game music', u'instrumental', u'game soundtracks', u'gtd', u'productivity', u'Best RPG background']"
2,Ambient Wonder,8775,42041,116000,"[u'Soundtrack', u'video game music', u'instrumental', u'game soundtracks', u'gtd', u'productivity', u'Best RPG background']"
3,Ambient Wonder,8775,42041,116000,"[u'Soundtrack', u'video game music', u'instrumental', u'game soundtracks', u'gtd', u'productivity', u'Best RPG background']"
4,Ambient Wonder,8775,42041,116000,"[u'Soundtrack', u'video game music', u'instrumental', u'game soundtracks', u'gtd', u'productivity', u'Best RPG background']"
5,Ambient Wonder,8775,42041,116000,"[u'Soundtrack', u'video game music', u'instrumental', u'game soundtracks', u'gtd', u'productivity', u'Best RPG background']"
6,Ambient Wonder,8775,42041,116000,"[u'Soundtrack', u'video game music', u'instrumental', u'game soundtracks', u'gtd', u'productivity', u'Best RPG background']"
7,Ambient Wonder,8775,42041,116000,"[u'Soundtrack', u'video game music', u'instrumental', u'game soundtracks', u'gtd', u'productivity', u'Best RPG background']"
8,Ambient Wonder,8775,42041,116000,"[u'Soundtrack', u'video game music', u'instrumental', u'game soundtracks', u'gtd', u'productivity', u'Best RPG background']"
9,Ambient Wonder,8775,42041,116000,"[u'Soundtrack', u'video game music', u'instrumental', u'game soundtracks', u'gtd', u'productivity', u'Best RPG background']"
10,Ambient Wonder,8775,42041,116000,"[u'Soundtrack', u'video game music', u'instrumental', u'game soundtracks', u'gtd', u'productivity', u'Best RPG background']"
11,Ambient Wonder,8775,42041,116000,"[u'Soundtrack', u'video game music', u'instrumental', u'game soundtracks', u'gtd', u'productivity', u'Best RPG background']"
12,Ambient Wonder,8775,42041,116000,"[u'Soundtrack', u'video game music', u'instrumental', u'game soundtracks', u'gtd', u'productivity', u'Best RPG background']"
13,Ambient Wonder,8775,42041,116000,"[u'Soundtrack', u'video game music', u'instrumental', u'game soundtracks', u'gtd', u'productivity', u'Best RPG background']"
14,Ambient Wonder,8775,42041,116000,"[u'Soundtrack', u'video game music', u'instrumental', u'game soundtracks', u'gtd', u'productivity', u'Best RPG background']"
15,Ambient Wonder,8775,42041,116000,"[u'Soundtrack', u'video game music', u'instrumental', u'game soundtracks', u'gtd', u'productivity', u'Best RPG background']"
16,Dream Again,1,6,0,[]
17,Dream Again,1,6,0,[]
18,Street Fame,25128,113936,270000,"[u'rap', u'2pac', u'RB', u'West Coast Rap', u'Bay Area', u'kaudogg']"
19,Street Fame,25128,113936,270000,"[u'rap', u'2pac', u'RB', u'West Coast Rap', u'Bay Area', u'kaudogg']"
20,Hit 'Em Up (feat. The Outlawz),3969,23337,256000,"[u'hip hop', u'rap', u'featuring the outlawz']"
21,Hit 'Em Up (feat. The Outlawz),3969,23337,256000,"[u'hip hop', u'rap', u'featuring the outlawz']"
22,When we ride on our enemies [Exclipt],1,2,0,[]
23,Troublesome 96 OG,42,216,0,[]
24,Troublesome 96 OG,42,216,0,[]
25,Street Fame,25128,113936,270000,"[u'rap', u'2pac', u'RB', u'West Coast Rap', u'Bay Area', u'kaudogg']"
26,Street Fame,25128,113936,270000,"[u'rap', u'2pac', u'RB', u'West Coast Rap', u'Bay Area', u'kaudogg']"
27,Hit 'Em Up (feat. The Outlawz),3969,23337,256000,"[u'hip hop', u'rap', u'featuring the outlawz']"
28,Hit 'Em Up (feat. The Outlawz),3969,23337,256000,"[u'hip hop', u'rap', u'featuring the outlawz']"
29,When we ride on our enemies [Exclipt],1,2,0,[]
30,Troublesome 96 OG,42,216,0,[]
31,Troublesome 96 OG,42,216,0,[]
32,Street Fame,25128,113936,270000,"[u'rap', u'2pac', u'RB', u'West Coast Rap', u'Bay Area', u'kaudogg']"
33,Street Fame,25128,113936,270000,"[u'rap', u'2pac', u'RB', u'West Coast Rap', u'Bay Area', u'kaudogg']"
34,Hit 'Em Up (feat. The Outlawz),3969,23337,256000,"[u'hip hop', u'rap', u'featuring the outlawz']"
35,Hit 'Em Up (feat. The Outlawz),3969,23337,256000,"[u'hip hop', u'rap', u'featuring the outlawz']"
36,Hit 'Em Up (feat. The Outlawz),3969,23337,256000,"[u'hip hop', u'rap', u'featuring the outlawz']"
37,My Dying Bride with Lyrics,23,48,0,[]
38,Real Muthafuckin G's,3282,12240,0,[u'gunchester']
39,1,1,1,0,[]
40,What U See Is What U Get,13965,50958,309000,"[u'hip hop', u'Hip-Hop', u'rap', u'aggressive', u'west coast', u'underground hip hop', u'True Hip Hop', u'gangsta', u'great video', u'STRICTLY FOR THE UNDERGOUND', u'head nod', u'murzyni', u'DA REAL UNDERGROUND OLD SKOOL HIP HOP', u'TRUE musical HIP HOP', u'czarnuchy']"
41,Донские Казаки - Кучка Ёбаных Додиков И Дрюликов,1,2,0,[]
42,Hit 'Em Up (Dirty),2162,5034,0,[]
43,Straight Outta Compton,367416,1443309,256000,"[u'Gangsta Rap', u'rap', u'Hip-Hop', u'West Coast Rap', u'hip hop', u'old school', u'gangsta', u'80s', u'west coast', u'N.W.A', u'Old School Hip Hop', u'nwa', u'old school rap', u'straight outta compton', u'classic', u'hiphop', u'aggressive', u'California', u'Ice Cube', u'Awesome', u'american', u'old skool', u'Amen break', u'Pitchfork 500', u'oldschool rap', u'amazing', u'1988', u'Dr. Dre', u'crazy as fuck', u'trance', u'dub', u'favorites', u'angry', u'good shit', u'places', u'4', u'los angeles', u'True Hip Hop', u'Excellent tune', u'sample', u'ace', u'compton', u'favs', u'best songs ever', u'explicit lyrics', u'clear pronunciation', u'danceable beats', u'light percussion fills', u'classic hip-hop', u'dr dre']"
44,Hit 'Em Up (Dirty),2162,5034,0,[]
45,Hit 'Em Up (Dirty),2162,5034,0,[]
