,Songs,Listeners,Playcount,Duration,Tags
0,Social Damage,10379,57546,133000,"[u'street punk', u'punk', u'hardcore', u'punk rock', u'hardcore punk', u'singlesphere']"
1,Force-Fed,8546,45597,130000,"[u'punk', u'hardcore', u'punk rock', u'street punk', u'hardcore punk', u'singlesphere']"
2,Dead Weight Falls,13615,62839,170000,"[u'punk', u'hardcore', u'street punk', u'Oi']"
3,You Can Never Go Home,10253,58207,150000,"[u'punk', u'punk rock', u'street punk', u'alternative rock', u'hardcore punk', u'Favourite Songs', u'singlesphere', u'reptillery']"
4,Weapons Of Mass Deception,29530,110332,135000,"[u'punk', u'The Unseen', u'street punk', u'punk rock', u'hardcore punk', u'Oi', u'hardcore', u'Scream Punk', u'seen live', u'indie', u'Old School Punk', u'alternative', u'FUCKING AWESOME', u'Penis', u'Punk Revival', u'Hell Yeah', u'epitaph', u'unseen', u'check em out', u'punkrock and psychobilly', u'liila', u'Jizon', u'The Unseen - Weapons Of Mass Deception', u'punk poo', u'singlesphere', u'sold out and always mediocre', u'false lyrics', u'I Would Listen Again', u'aermel', u'WEAPONS OF MASS DECEPTION']"
5,The End Is Near,9412,51399,87000,"[u'street punk', u'punk', u'hardcore', u'heard on Pandora', u'boston', u'punkrock', u'Boston punk', u'Punk-Rock', u'singlesphere']"
6,Scream Out,30013,210909,176000,"[u'punk', u'street punk', u'punk rock', u'hardcore punk', u'hardcore', u'great', u'loud', u'heard on Pandora', u'Favourite Songs', u'test', u'seen live', u'emo', u'favorites', u'Love', u'2004', u'american', u'screamo', u'political', u'good shit', u'00s', u'boston', u'punkrock', u'political punk', u'10 of 10 stars', u'<3', u'scream', u'alternativ', u'riot', u'favourite tracks', u'Punk-Rock', u'5 of 10 stars', u'Punk Revival', u'epitaph', u'punkcore', u'songs to listen while drinking beer to make life too awesome', u'Angelfire', u'The Unseen', u'purer sex', u'alternative scream', u'ki11 3m 411', u'self-confidence', u'energiaaa', u'singlesphere', u'reptillery', u'sounds like an anti-flag song', u'just one of those songs']"
7,On The Other Side,10527,58037,155000,"[u'punk', u'street punk', u'hardcore punk', u'heard on Pandora', u'6 of 10 stars']"
8,Faction,35051,120422,210000,"[u'ska', u'ska punk', u'punk', u'punk rock', u'pop punk', u'ska-punk', u'seen live', u'USA', u'epic', u'american', u'aa', u'heard on Pandora', u'Pop-punk', u'punkrock', u'9 of 10 stars', u'FUCKING AWESOME', u'2002', u'skapunk', u'punk ska', u'pop ska', u'americain', u'Ska Band', u'SKA Favorites', u'Me Likes', u'juliancito', u'sweaty wednesday night at the cockpit', u'old skool faves', u'ami punk', u'klmnn', u'sklom']"
9,Bigger Picture,30029,108648,161000,"[u'ska', u'punk', u'rock', u'shit', u'less than jake', u'seen live', u'USA', u'american', u'punk rock', u'ska punk', u'Pop-punk', u'gute laune', u'7 of 10 stars', u'2000', u'teen angst', u'clever lyrics', u'more cowbell', u'laut', u'punk ska', u'americain', u'warm up', u'Punk Favorites', u'stephsfavs', u'neu entdeckt', u'das uebliche', u'linkfavs']"
